user_name,content
小羊不乖木,
月神雪_小豆子,
一尾鱼椰,[泪]//@zh21zhh:你敲开的不只是哈利一个人的门
夜夜大喵子,
毛毛可以是毛猫猫,//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
磕一口BG吗,呜呜[泪]//@入江卉卉:🥲//@zh21zhh:你敲开的不只是哈利一个人的门
麝香水星,
CYH的小娇妻,
快乐之新,
--海天雄镇人--,//@译林出版社:#哈利波特海格扮演者去世# 永远的海格！
小谢谢啦,
春天的梦开在冬季,
cfay_泽西,
砂砾畫湖泊,[泪][泪]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
比格战神,//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
范大兵,
拍拍一拍拍,
睡醒了吗阿廖沙,
聊城吃鸡小分队,
用户6219854642,
泡古牌琦,
shiny青梅煮酒,
Monica陪你度过漫长岁月,
请你绕路走,
酸辣粉使劲加醋,
MJ_1919,
有钱等于快乐,
用户7326746708,
m品w,
用户6095765790,
木家吃不胖,
mako酱_想要脱非入欧,//@该昵称属于违法昵称并已被占用: [苦涩][苦涩][苦涩]//@萝卜糖桃桃的抖森喵:啊[苦涩][伤心][蜡烛]//@-卖萌担当-:[泪][泪][泪][泪][泪]  http://t.cn/A6ofeEzD
十块糖儿_,
小魔女and小苹果,
TakeYouToTheMoon,
LmeAaaa,
恰逢花开-,
抹茶红豆打咩,[蜡烛][蜡烛][蜡烛]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
暗藏殺機椰,
用户7555260848,
牛牛_198003,
九六二九啦啦啦,
BCX比特无限,
李三1320,
鼬的碎片,
团炒栗子,
中药在我的血液里流淌,
随随便便的一根木头,
执子之手99999,
祺天大圣01,
1seven_one7,[泪][泪][泪][泪]//@zh21zhh:你敲开的不只是哈利一个人的门
没有谁不爱花-,//@迷之卡:永远的海格
梦想畅游怼,
我肚子咋又饿了,
危地马拉大食蚁兽也很不错呢,
全世界最好的周杰伦萧甜甜我爱你,
蜜信可可儿,
静候轮回7501,
一年里有二十肆个月,//@zh21zhh:你敲开的不只是哈利一个人的门
愛能克服遠距離·,
MoE-猪zhu,
黑枝黄花,
用户6202224548,
tcaprecipitation,[泪]//@亦方不在杭州:R.I.P[泪][泪][泪][泪][泪]
你一口我一,
骨骨迷小艾,[泪]//@謎謎謎謎儿:[苦涩]//@米口电了鹅:[泪]
弯呢48326,[泪]才发现//@zh21zhh:你敲开的不只是哈利一个人的门
被喂着糖果,
毕无聊,
mingming85027,
我柚来了o,
洲豪cqz,
邂逅的华尔兹,
用户6425788146,
蠢敷敷的喵,
文子690927,
Chinaaping,
A漂泊的人2,
范珍201912,
一帆风顺如履平地,
帅气mingmin,
walljohn82,
秦吉粤,
善为-孝先,
呢称田野,
夜里独白2020,
夜半天明2012,
用户7594423896,
QQ昌江,
楼兰202007,
用户7735742326,
一_997,
孙振-Midy,
什么gy,
甄靠谱-,[苦涩][苦涩][苦涩]//@zh21zhh:你敲开的不只是哈利一个人的门
momo公主殿下,
葬爱要一起,
小曼A8,
想发光要交电费xi,
朋友6627750312,
_三順儿_,
理想型奋斗,
JM_BosCo,
雾会散cc,
伫望向北3985,
sorbaihai,
Verser1019,
用户7212140912,
璉包,
勇敢桃嘻嘻,[泪]//@荞麦枕头发芽芽:🕯️
股魔731,
wei_W_,
星星_月光,
wb没有名字刷刷刷,
用户7408784186,
清清醒醒瞌瞌睡睡,
纠结这个名字一年只能改一次不够,
马踏的燕飞,
用户7487509350,
5Kiwp,
疼痛难免但逃避不可耻,//@你的咸蛋黄掉啦: http://t.cn/A6oI2c02 //@zh21zhh:你敲开的不只是哈利一个人的门
先兆说事,
29Y__,
ShesARebel,
物尽天泽87,
用户7627255369,
用户7626138532,
小春的女孩1988,
务必要减肥的杨某人,[蜡烛][蜡烛][蜡烛]//@室韦包子://@檀烧:啊[蜡烛]//@瞬思莉:多少人一直在等着他带自己去上学……[悲伤]//@邢立达:他永远留在霍格沃兹了。
墨秋江南,
jjsnake688,
shuai_1,
橘黄小牛,
櫶櫷櫸櫹櫼櫽櫾櫿櫹欃櫽,
萧炎帝王,
肥肥canvas,
祝鹿鹿心想事成,//@喜欢的人叫鹿晗:💧//@zh21zhh:你敲开的不只是哈利一个人的门
彚諱闠鼙衋嶲雟壐讟,
大加特加香菜,//@蔬菜仙人XD:[泪][泪][泪]//@潘萌SoPhia:I’ll not be there. But Hagrid will. 这就是创造的力量。JK罗琳创造了哈利波特世界，罗彼创造了银幕上的海格，五十年一百年过去，这些都还会在。//@电子骑士:啊，海格回霍格沃茨了……[泪]//@何小沁:这句印象最深//@-卖萌担当-:[泪][泪][泪][泪][泪] http:/
飘凌芯碎,
胖子李老太太,
加一份椰果o,
mylIfeIs_BLUE,[蜡烛]//@正版困困鼠:woc
梁光夏,
此刻我在地尽头,//@zh21zhh:你敲开的不只是哈利一个人的门
用户6580975464,
此刻我在地尽头,但海格依然会在//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
手谈有乐584,
凉菜丫丫,
超级巴鲁刚300,
一横一横一竖一竖,
乖巧的小锦鲤,
用户6231148511,
ADaubster,我才吃了海格蛋糕😿😿😿😿//@夹浪的爹·奶盖:天哪。。。。。
暁矮亽76687,
诀歌,[泪][泪][泪][泪][泪][泪][泪][泪][泪][泪]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
0星星知我心0,
四季盛葵2,
神秘女郎啊涵,//@zh21zhh:你敲开的不只是哈利一个人的门
126是我是我是我,
蓬蓬芽,
_Diamond03-,
用户6295203281,//@初一王:谢谢你，最坚实的后盾，最忠诚的朋友。[蜡烛]//@KelinSantaFe:[蜡烛]//@zh21zhh:你敲开的不只是哈利一个人的门
用户7297643274,
苏蘇小筱阳陽,[泪]我才看到…//@月野兔啾啾啾:[心]//@zh21zhh:你敲开的不只是哈利一个人的门
谜萌43127,
请无惨出来晒太阳,
s1nN4ko__,🥲什么时候来带我走啊//@奶啵干酪:[泪][泪][泪][泪][泪][泪][泪]//@zh21zhh:你敲开的不只是哈利一个人的门
奢斯礼服,
A程丫丫,
走路V一阵风,
沙沙小方酥,
一起去切斯莱特啊,
欲饮微浅眠-,
注意龙体,我心里的海格一直就长这样//@专业开心吃瓜:[泪][泪][泪][泪][泪]
可爱耶耶哦,
今天先吃明天减肥,
帕拉丝的小小,//@译林出版社:#哈利波特海格扮演者去世# 永远的海格！
会爸飞翔,
袋鼠阿默,
夕阳帝国,
西瓜小头___,
刘蛋杨,
SomeIridescentStorys,
橘肆苡,
小源并不圆,
署名X_,//@zh21zhh:你敲开的不只是哈利一个人的门
手机用户3255570141_675,
小圆并不源,
谈笑风华sal,
蔬菜仙人XD,[泪][泪][泪]//@潘萌SoPhia:I’ll not be there. But Hagrid will. 这就是创造的力量。JK罗琳创造了哈利波特世界，罗彼创造了银幕上的海格，五十年一百年过去，这些都还会在。//@电子骑士:啊，海格回霍格沃茨了……[泪]//@何小沁:这句印象最深//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
区录头脑,
sbacjer,
小猫为何这样,
用户7466995464,
梦的尾声和清晨一样干净丶,//@凤凰天使TSKS:但海格依然会在[泪][泪][泪]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
暮烨络合物,唉//@SaSaLand:RIP//@KelinSantaFe:[蜡烛]//@zh21zhh:你敲开的不只是哈利一个人的门
碎碎念少女霄,
this张大小姐,
gznyz888,
小黑-o-,
black大同张君,
Magic好运遁甲,海格的陪伴依然会在//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
水岸半岛,
某聪,//@山水一瓣:[蜡烛]//@Snow甜豆酱:[泪][泪][泪][泪]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
琴师明月人02749,
-乘七,[苦涩][苦涩][苦涩][伤心][伤心][伤心][蜡烛][蜡烛][蜡烛]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
六十三想要猫猫隐士,
ScreamingSoda,😿//@這裡是黄瓜://@創chhuang:[失望]//@-RyanWong-:[泪][泪]
cj一克拉眼泪,
用户7366075934,
mbnn123456789,
Caryhear,
薇薇安兔子,
Winnie的噗桑,一秒破防[苦涩][苦涩][苦涩]//@Panda盼子:影视告诉我:你还小。生活告诉我:你老了。//@QuailAries:这个世界不断跟我说「你再不是孩子了」
用户7440092262,
用户5653376323,
木星禾,
百川lej,
早上好eva,//@QuailAries:这个世界不断跟我说「你再不是孩子了」
用户6536460881,
用户6010341510,
也许是时候走了,
nn四季春,//@zh21zhh:你敲开的不只是哈利一个人的门
叔叔比雪还纯洁LS,
白学公主seven,
赋年兮_,
用户6702074004,
用户7588410021,
小马是废话大王,[泪]//@次等水货:[蜡烛]//@何小沁:这句印象最深//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
RADGEED,
用户7371932907,
阿门爱包子,
LEE_LittleTU,[泪][泪][泪]//@你的咸蛋黄掉啦: http://t.cn/A6oI2c02 //@zh21zhh:你敲开的不只是哈利一个人的门
jelly_gi,我会哭//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
glary621119,
刘俊江1989,
大连酒窝王震,
能量消耗531,
嘻睿啊,"It's not a really goodbye,hagrid//@邢立达:他永远留在霍格沃兹了。"
·旺仔QQ糖·,//@zh21zhh:你敲开的不只是哈利一个人的门
灰灰的居居,[蜡烛]//@一顿喝牛奶喝一斤:哎//@鸸鹋动物园:[蜡烛]
Sunday灬V5,
一个沈猫猫,
风风光光89746,
手机用户3309753615,
住在云上的鱼198401,
乌龙茶大王哈哈哈,
今晚别再熬夜啦_,
小瑾子118,
大闻希,
睡眠桃_幸运降凌z,
Rascal200801,
我一定会发发发发大财的耶,
用户7307057732,
Evie_yy7,
大考官A00160052,//@zh21zhh:你敲开的不只是哈利一个人的门
小呀么小河豚儿,
海子的饕餮盛宴,走好，谢谢你//@Cocainemin:谢谢你//@你的咸蛋黄掉啦: http://t.cn/A6oI2c02 //@zh21zhh:你敲开的不只是哈利一个人的门
老掉牙的温存,
五月立夏生的女女,
SOLA_Ci,[泪]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
撑把小纸伞x,[蜡烛]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
橘生KOZUE,我们的好朋友[抱一抱][蜡烛]//@木之本婴有棵树:R.I.P[苦涩]
咕嘟0917,[泪]//@·一捧月亮:谢谢你，海格永远都在[苦涩]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
爱吃河粉的广东青年,
几亩186,
扎扎实实阿扎,//@次等水货:[蜡烛]//@何小沁:这句印象最深//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
菜菜芒果面包,//@zh21zhh:你敲开的不只是哈利一个人的门
猪猪瑶欢乐园,
kongkong2046,
流年似水只取一瓢,
不yi感冒的GG,
莱莱莱yxkk,我的童年渐行渐远了//@QuailAries:这个世界不断跟我说「你再不是孩子了」
改名太难了5555,
君君celineNG,
我不要做拖沓大王啊,天//@橙汁和爱凤的快乐生活:[泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪]我小时候看电影的时候超喜欢他//@zh21zhh:你敲开的不只是哈利一个人的门
蜡笔小妍熬,
昭星序,
大叶糖candy,
我们平时常说话的,
hdvfhrgb,
罗杰Super杰,
好运连连绵,
缪吊斯,
mimosa48702,
三野浟,还是想转一下这句//@zh21zhh :你敲开的不只是哈利一个人的门
姑苏古琴夷陵笛,
黄驿开奶奶_586,[抱抱]//@haru微凉:霍格沃兹这么早就开学了吗[泪]
律和YUAN,
-你别过来-,
耶一只,[苦涩]//@zh21zhh:你敲开的不只是哈利一个人的门
求日落时间·9291,[泪] http://t.cn/A6oMShc2 //@zh21zhh:你敲开的不只是哈利一个人的门
PoliteYan,
V_Scorpio,
用户7309908023,
颓废村民b-,OMG//@申申菌:[苦涩][苦涩][苦涩][苦涩][苦涩]天呐
我想问下zzz,
爱橙子的卷,
Empty_Grapefruit,//@QuailAries:这个世界不断跟我说「你再不是孩子了」
葉鋒-葉鋒,
稀有物种xxx62517,[微风]//@QuailAries:这个世界不断跟我说「你再不是孩子了」
白飞飞和我确认过眼神,[苦涩][苦涩][苦涩]//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
梦华尘,//@檀烧:啊[蜡烛]//@瞬思莉:多少人一直在等着他带自己去上学……[悲伤]//@邢立达:他永远留在霍格沃兹了。
啊脑壳要爆炸,
用户5204869018,
雪山之巅上的TNT,刚看到的消息[泪]我的海格啊！//@zh21zhh:你敲开的不只是哈利一个人的门
爱用厚乳拿铁洗头,
睡觉是很幸福的事情,
Braverichpeach,//@-卖萌担当-: [泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
菩提树下梦雅朵,魔法世界最最可爱的大块头[泪][泪]//@爱植物的梨子://@QuailAries:这个世界不断跟我说「你再不是孩子了」
七茶花梗,
梅荨荨SSR,[泪]//@123偏偏点到为止:我还没吃到海格的蛋糕呢//@zh21zhh:你敲开的不只是哈利一个人的门
星空点点随小八,
张阿咩l,
李美丽Ashley,
张阿咩l,
白嗣修,
吃肉咋能不吃蒜,
我在串珠界卷生卷死,
06978淼淼,
醉花不落荫,
用户7340854416,
w阿芬z,
w阿芬z,
堃堃是kunkun啊,
蛋挞豆泥椰,//@你的咸蛋黄掉啦: http://t.cn/A6oI2c02 //@zh21zhh:你敲开的不只是哈利一个人的门
养乐多941o,
养乐多941o,
_顾冬,//@啃苹果的喵://@zh21zhh:你敲开的不只是哈利一个人的门
王_十甫寸,
香芋色的米,
ultimatefantasy_x,😢//@zh21zhh:你敲开的不只是哈利一个人的门
小星星啊哦额,
抓水母的海星,
大海有鱼出mo,
BHMMLo,
爱慕日四,
无所谓的奔奔,
·盐酸气只祎·,
金桔要努力,
救世主小天使,
Ueliove,//@zh21zhh:你敲开的不只是哈利一个人的门
ranhsue,
慵懒lm,
用户7780749943,
月貓心願,
用户7691785346,
给你一只魔法假期,
什么脆脆甜甜x,//@小七夜yeah://@zh21zhh:你敲开的不只是哈利一个人的门
奶泡森味的星冰乐,//@zh21zhh:你敲开的不只是哈利一个人的门
-wms-Llll,
快乐的盖哥,
我怎么还没变陨石,[泪]//@zh21zhh:你敲开的不只是哈利一个人的门
狗屎欧爸,
只能说你们是真的火了,[泪][泪]//@泫珏成成:他只是去了霍格沃兹，提着灯笼在门口迎接着新生
活在当下by鱼,
所级针对,
AaronF龍,
是风_Junipersling,[泪][泪][泪][泪]//@氪金吗:我擦，刚吃了海格送哈利的蛋糕，就看到这条
榴莲香菜椰子,[蜡烛]//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
赵村夫Zhao,//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
虚虚实实虚实虚,
flingoooh,
tentann_,啊呜🥺//@zh21zhh:你敲开的不只是哈利一个人的门
-賈鲁_,
困困kumii,
k11ne,
画一个尼古拉斯,
别给我吃夹shi糖,[泪]//@zh21zhh:你敲开的不只是哈利一个人的门
蛋黄不好吃吃吃,
MissSaskia,
扑进云朵里,😭//@Ciciii1://@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
冯琼5801684418,
萍水相逢8003,
做梦环游世界的流星,
蓝变紫梦,
片段o_457,
id罗丹,
忧忧傻丫头,
只有芸芸知道,[伤心][泪]//@zh21zhh:你敲开的不只是哈利一个人的门
Dear-把dd88揣兜里,
whokills,
六便士与亮月,呀本来转过了这个事情看到这条评论又破防//@zh21zhh:你敲开的不只是哈利一个人的门
春风晾鱼干Q,
DM48_Liberty,
远迁远迁,
每天我要睡饱饱,
用户5322663974,
想过平静的生活orz,//@杨京墨L:海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh:你敲开的不只是哈利一个人的门
葡萄气泡水v,
甄心爱萱桦_XXR,
恰恰氢气球,
此用户名以隐藏,
年度口腔溃疡十强选手,海格[泪][泪]//@您了伸手伸伸手儿:but Hagrid will//@zh21zhh:你敲开的不只是哈利一个人的门
pinstaraa,
谁在我家养小蜘蛛,//@申申菌:[苦涩][苦涩][苦涩][苦涩][苦涩]天呐
樱cfb,
一笑而过7784788682,
清纯的鸭屁,
shero0501,//@用户守年年:谢谢您给我们敲开了一扇神奇的门[泪]
黎净叛道睡醒了,[泪][泪]//@zh21zhh:你敲开的不只是哈利一个人的门
Kenkentoto肯島島,海格R.I.P….[苦涩]//@你的咸蛋黄掉啦: http://t.cn/A6oI2c02 //@zh21zhh:你敲开的不只是哈利一个人的门
晓清兴x,
三十三就是那个三十三,[蜡烛]//@風間清瞳:[蜡烛][蜡烛][蜡烛][悲伤][悲伤][悲伤]
有病如是,
指定发财用户_,
徐何也,Hagrid will.//@杨京墨L: 海格依然会在林场照顾那些神奇动物和巨型南瓜。 http://t.cn/A6ofF4Zn //@zh21zhh: 你敲开的不只是哈利一个人的门
Marhabv,//@Rayiiiila:永远的海格🕯️[心][泪]
用户7518373061,
财布saifuuu,
血橙奶茶,"//@猫撞:Good bye,Hagrid[蜡烛]"
带电双手____,//@次等水货:[蜡烛]//@何小沁:这句印象最深//@-卖萌担当-:[泪][泪][泪][泪][泪] http://t.cn/A6ofeEzD
喝一口十六汁,
